"_id","key","role","title","general__winPercent","general__playPercent","general__banRate","general__kills","general__deaths","general__assists","general__totalDamageDealtToChampions","general__totalDamageTaken","general__totalHeal","general__largestKillingSpree","general__minionsKilled","general__neutralMinionsKilledTeamJungle","general__neutralMinionsKilledEnemyJungle","general__goldEarned","general__overallPosition","general__overallPositionChange"
"54e06fec08ed067b90f23f18","Vladimir","Top","Vladimir","50.15","6.35","0.52","6.21","6.86","7.05","26446","32269","12845","2.66","202.1","5","2.95","12438","11","-2"
"54e06fec08ed067b90f23f19","Rumble","Top","Rumble","50.43","4.48","0.4","6.5","6.25","8.64","24696","23734","1528","3.07","163.2","2.01","1.06","11605","27","-9"
"54e06fec08ed067b90f23f1a","Fiora","Top","Fiora","53.51","5.04","3.48","8.83","7.45","5.41","23704","28061","2011","3.64","187.2","8.29","4.38","12962","6","9"
"54e06fec08ed067b90f23f1b","Swain","Top","Swain","52.03","2.19","0.87","6.45","5.97","7.9","24809","31917","11962","3.08","163","4.57","1.56","11674","15","7"
"54e06fec08ed067b90f23f1c","Sion","Top","Sion","52.81","5.13","0.55","4.66","5.3","9.85","20205","32691","14653","2.28","192.7","2.7","1.4","12036","4","6"
"54e06fec08ed067b90f23f1d","Renekton","Top","Renekton","49.94","9.02","0.94","5.54","5.7","7.81","19597","35034","6530","2.66","207.4","4.71","3.36","12412","7","4"
"54e06fec08ed067b90f23f1e","Chogath","Top","Cho'Gath","50.48","4.32","0.45","6.27","5.08","7.18","20519","32934","8064","3.27","200.9","6.3","3.01","12532","8","6"
"54e06fec08ed067b90f23f1f","Yasuo","Top","Yasuo","45.97","1.85","14.07","7.34","8.28","6.51","21958","24351","996","2.89","212.5","10.07","5.61","13305","30","-9"
"54e06fec08ed067b90f23f20","Malphite","Top","Malphite","51.73","7.17","0.79","5.13","4.75","9.9","19247","22449","1814","2.72","165.3","2.52","1.01","11517","26","3"
"54e06fec08ed067b90f23f21","Fizz","Top","Fizz","48.48","3.62","20.56","8.45","6.39","5.68","20853","26300","1652","3.78","174.5","4.52","2.16","12268","29","19"
"54e06fec08ed067b90f23f22","Jax","Top","Jax","47.51","8.52","5.8","6.49","6.79","5.66","18716","28195","1512","2.83","186.6","7.11","3.23","12204","36","3"
"54e06fec08ed067b90f23f23","Gnar","Top","Gnar","47.06","10.37","24.15","5.44","6.11","8.45","21314","29113","1779","2.6","178.2","4.21","2.16","11802","18","-2"
"54e06fec08ed067b90f23f24","Nasus","Top","Nasus","52.54","10.97","4.46","5.35","5.42","6.8","19239","35000","1605","2.68","205.4","4.63","2.13","12387","3","3"
"54e06fec08ed067b90f23f25","Kassadin","Top","Kassadin","45.44","2.52","13.4","6.9","5.31","7.17","19856","25558","1908","3.5","173.1","2.67","0.89","11769","35","-11"
"54e06fec08ed067b90f23f26","MonkeyKing","Top","Wukong","52.78","4.5","1","7.43","6.2","7.44","21699","26015","1974","3.42","186.1","5.94","3.05","12570","5","8"
"54e06fec08ed067b90f23f27","Rengar","Top","Rengar","50.04","3.05","3.03","8.75","7","6.26","21922","27897","3944","3.75","179.2","11.43","5.38","12893","22","-3"
"54e06fec08ed067b90f23f28","Irelia","Top","Irelia","52.24","15.1","23.57","7.05","5.71","7.08","19838","31156","8187","3.49","194.7","3.12","1.8","12397","2","0"
"54e06fec08ed067b90f23f29","Lissandra","Top","Lissandra","50.03","8.28","26.48","5.37","6.32","8.65","21416","21910","1588","2.45","208.5","3.95","1.5","12390","10","-2"
"54e06fec08ed067b90f23f2a","Pantheon","Top","Pantheon","52.36","5.26","5.6","8.54","7","7.2","23023","24858","1532","3.66","163.6","4.68","2.3","12295","14","6"
"54e06fec08ed067b90f23f2b","Riven","Top","Riven","50.69","19.44","12.26","8.01","6.82","5.38","20413","23895","1669","3.5","200.8","8.63","5.65","12952","13","-9"
"54e06fec08ed067b90f23f2c","JarvanIV","Top","Jarvan IV","54.5","3.26","64.12","7.28","6.1","10.18","20581","26221","1942","3.4","186.1","6.48","3.18","12800","1","0"
"54e06fec08ed067b90f23f2d","Nidalee","Top","Nidalee","49.44","3.66","30.53","7.34","6.3","6.46","22877","26256","9615","3.42","172.3","5.81","3.18","12068","21","-18"
"54e06fec08ed067b90f23f2e","Zac","Jungle","Zac","40.28","0.56","0.05","4.29","5.32","10.61","14107","34964","26496","2.13","42.6","58.73","5.57","11015","41","-1"
"54e06fec08ed067b90f23f2f","Evelynn","Jungle","Evelynn","49.45","1.2","0.14","7.32","6.32","9.69","18045","28835","2208","3.35","47.5","56.64","7.34","12079","27","-9"
"54e06fec08ed067b90f23f30","Trundle","Jungle","Trundle","48.54","0.56","0.04","5.32","5.91","9.78","13867","37972","10337","2.47","48.6","58.08","6.87","11731","33","4"
"54e06fec08ed067b90f23f31","Poppy","Jungle","Poppy","51.25","0.52","0.13","7.49","6.31","6.87","17721","28468","2121","3.15","45.1","60.33","7.67","12151","29","0"
"54e06fec08ed067b90f23f32","Skarner","Jungle","Skarner","47.7","1.35","0.03","4.91","5.31","10.93","11734","30152","2414","2.48","43.9","61.48","6.66","11578","34","-3"
"54e06fec08ed067b90f23f33","Elise","Jungle","Elise","43.11","1.34","0.04","5.51","6.61","8.49","15365","27939","2496","2.37","40.2","55.33","6.69","11186","42","0"
"54e06fec08ed067b90f23f34","Aatrox","Jungle","Aatrox","45.42","0.48","0.2","5.41","5.98","8.63","14472","34209","16072","2.54","57.5","65.19","8.55","12013","35","0"
"54e06fec08ed067b90f23f35","Nunu","Jungle","Nunu","53.15","1.28","0.05","3.72","5.05","12.37","11465","36946","10482","1.84","39","50.74","10.02","11256","25","-2"
"54e06fec08ed067b90f23f36","Rammus","Jungle","Rammus","47.05","2.02","0.21","3.85","6.15","12.79","13351","34199","4703","1.65","41","50.97","4.12","11005","36","0"
"54e06fec08ed067b90f23f37","Gragas","Jungle","Gragas","45.32","0.54","0.1","5.3","5.89","10","16318","32651","7310","2.55","48.7","58.24","6.54","11614","38","-4"
"54e06fec08ed067b90f23f38","Nocturne","Jungle","Nocturne","48.19","2.25","0.03","6.67","6.14","8.89","15683","32213","4793","3.07","59.6","68.98","7.69","12599","22","6"
"54e06fec08ed067b90f23f39","Nautilus","Jungle","Nautilus","47.72","1.95","0.05","3.74","5.13","12.31","12520","26878","2360","1.84","40.3","54.33","5.14","10916","40","-1"
"54e06fec08ed067b90f23f3a","Shyvana","Jungle","Shyvana","47.64","1.4","0.03","5.97","5.57","8.82","17705","33872","2807","2.84","67.1","77.01","11.79","13167","15","4"
"54e06fec08ed067b90f23f3b","Kayle","Jungle","Kayle","51.09","0.47","0.23","5.77","5.78","9.14","16142","28510","8818","2.73","79.8","69.33","7.48","12787","24","-7"
"54e06fec08ed067b90f23f3c","Volibear","Jungle","Volibear","45.91","1.32","0.09","5.91","5.94","9.99","13903","36260","2947","2.87","41.7","49.52","5.18","11170","39","-1"
"54e06fec08ed067b90f23f3d","Olaf","Jungle","Olaf","46.98","1.52","0.11","6.1","6.09","8.58","16153","34044","3857","2.78","52.6","61.08","7.61","11837","30","-3"
"54e06fec08ed067b90f23f3e","Tryndamere","Jungle","Tryndamere","46.47","0.61","0.64","6.51","6.49","6.77","16533","39452","8107","2.74","82.9","67.69","11.11","13147","21","3"
"54e06fec08ed067b90f23f3f","Diana","Jungle","Diana","47.84","1.26","0.38","7.34","6.69","8.03","19418","23856","1541","3.24","66","69.17","8.19","12783","26","7"
"54e06fec08ed067b90f23f40","Udyr","Jungle","Udyr","50.81","5.04","0.44","5.6","5.57","7.63","12940","31153","2362","2.73","60.2","70.23","11.6","12573","14","1"
"54e06fec08ed067b90f23f41","Sejuani","Jungle","Sejuani","52.19","5.42","0.25","4.89","5.09","12.14","15871","34980","4010","2.47","49.3","62.32","6.75","11927","10","0"
"54e06fec08ed067b90f23f42","Khazix","Jungle","Kha'Zix","46.22","5.41","0.27","7.69","6.42","7.46","17225","31688","5979","3.43","49.8","63.07","9.05","12323","19","-7"
"54e06fec08ed067b90f23f43","Maokai","Jungle","Maokai","46.38","1.75","0.45","3.97","5.84","12.46","14033","36727","9113","1.82","47","51.54","4.85","11034","32","-6"
"54e06fec08ed067b90f23f44","Hecarim","Jungle","Hecarim","48.89","4.76","0.54","6.72","5.9","9.77","16457","36983","7955","3.2","54.8","62.21","7.16","12192","8","-5"
"54e06fec08ed067b90f23f45","Chogath","Jungle","Cho'Gath","47.6","0.97","0.45","5.71","5.13","9","15533","35189","7301","2.85","65.3","64.27","6.73","12189","23","2"
"54e06fec08ed067b90f23f46","XinZhao","Jungle","Xin Zhao","49.23","5.54","0.2","6.15","7.09","9.11","16161","33500","6876","2.6","45","56.36","7.1","11706","28","-6"
"54e06fec08ed067b90f23f47","Sion","Jungle","Sion","50.76","1.03","0.55","5.17","5.77","11.42","16833","35593","16171","2.27","64","52.23","5.27","11804","18","-2"
"54e06fec08ed067b90f23f48","Warwick","Jungle","Warwick","51.48","6.38","2.29","5.77","5.96","10.23","13599","39758","16210","2.62","40.7","65.68","7.29","12025","6","-2"
"54e06fec08ed067b90f23f49","MasterYi","Jungle","Master Yi","49.74","6.73","1.81","8.77","7.57","5.94","18905","30977","3792","3.54","80.5","72.22","9.37","13650","9","-3"
"54e06fec08ed067b90f23f4a","RekSai","Jungle","Rek'Sai","49.67","6.89","27.92","6.03","6.12","9.91","15180","34464","8568","2.84","48","61.59","10.21","12079","5","3"
"54e06fec08ed067b90f23f4b","Amumu","Jungle","Amumu","51.38","7.54","0.97","4.57","5.74","11.96","15624","31007","2972","2.14","45.2","63.78","6.31","11764","11","9"
"54e06fec08ed067b90f23f4c","Shaco","Jungle","Shaco","54.05","7.41","1.89","8.24","6.6","7.94","18822","26825","2176","3.51","65.3","51.26","10.82","12821","7","2"
"54e06fec08ed067b90f23f4d","FiddleSticks","Jungle","Fiddlesticks","55.75","7.15","4.68","5.94","6.29","10.13","17972","31180","15937","2.76","44.2","61.07","5.89","11739","3","-1"
"54e06fec08ed067b90f23f4e","Malphite","Jungle","Malphite","44.61","1.37","0.79","4.5","5.09","11.06","14623","25941","2449","2.22","50.5","56.16","4.73","11298","37","-5"
"54e06fec08ed067b90f23f4f","Fizz","Jungle","Fizz","47.87","2.2","20.56","8.15","6.55","6.93","17097","28662","2070","3.48","51.4","59.34","7.06","12225","16","25"
"54e06fec08ed067b90f23f50","Jax","Jungle","Jax","46.69","1.87","5.8","6.13","6.92","7.59","14938","28960","1803","2.58","60","62.64","7.58","12165","31","-1"
"54e06fec08ed067b90f23f51","MonkeyKing","Jungle","Wukong","51.36","6.51","1","6.63","6","9.58","17204","28633","2308","3.08","56.4","59.34","6.58","12164","12","-1"
"54e06fec08ed067b90f23f52","Rengar","Jungle","Rengar","46.44","9.17","3.03","6.89","6.78","8.24","15575","30998","4284","3","51.6","64.37","8.15","12195","17","-3"
"54e06fec08ed067b90f23f53","Pantheon","Jungle","Pantheon","52.1","11.08","5.6","7.61","6.37","9.16","16930","26828","1847","3.45","45","50.7","5.81","11769","13","0"
"54e06fec08ed067b90f23f54","JarvanIV","Jungle","Jarvan IV","52.87","18.98","64.12","6.01","6.01","13.54","14886","28580","2286","2.84","47","55.24","6.5","12063","4","3"
"54e06fec08ed067b90f23f55","Nidalee","Jungle","Nidalee","50.67","11.33","30.53","7.73","6.61","7.99","20699","29252","10757","3.48","53.9","57.58","9.41","12334","2","-1"
"54e06fec08ed067b90f23f56","Vi","Jungle","Vi","53.35","25.18","46.01","6.58","6.09","9.39","15595","27146","1886","3.06","46.7","63.52","7.87","12111","1","4"
"54e06fec08ed067b90f23f57","LeeSin","Jungle","Lee Sin","46.56","26.01","3.83","6.44","6.46","10.27","14486","30776","2186","2.92","42.3","52.28","7.43","11559","20","1"
"54e06fec08ed067b90f23f58","Zilean","Middle","Zilean","45.31","0.25","0.1","5.75","6.15","9.34","19995","22115","5518","2.62","152","4.73","0.92","11191","43","1"
"54e06fec08ed067b90f23f59","Galio","Middle","Galio","51.27","0.68","0.14","5.72","6.17","11.53","22697","26613","7317","2.65","175.8","5.54","1.36","12108","35","-3"
"54e06fec08ed067b90f23f5a","Karthus","Middle","Karthus","51.33","1.22","0.08","8.38","7.57","9.82","31596","23851","1707","3.1","192.4","12.03","2.07","13397","19","-11"
"54e06fec08ed067b90f23f5b","Mordekaiser","Middle","Mordekaiser","50.23","0.82","0.15","7.04","7.13","7.22","24315","18500","3269","3.09","193","9.61","4.19","12592","36","2"
"54e06fec08ed067b90f23f5c","Ryze","Middle","Ryze","41.05","0.41","0.1","6.85","7.34","8.03","22801","26817","937","2.85","154.8","7.22","1.58","11666","44","-1"
"54e06fec08ed067b90f23f5d","Heimerdinger","Middle","Heimerdinger","55.95","1.07","0.27","5.95","6.44","8.07","28109","18507","1166","2.65","184.4","4.39","1.91","12187","27","6"
"54e06fec08ed067b90f23f5e","Viktor","Middle","Viktor","49.71","2.04","0.13","8.02","6.71","7.64","26719","18046","1050","3.54","188.3","6.74","1.69","12714","21","5"
"54e06fec08ed067b90f23f5f","Gragas","Middle","Gragas","40.47","0.52","0.1","6.51","6.43","7.8","20926","28695","6295","2.94","148.4","7.49","1.89","11305","45","0"
"54e06fec08ed067b90f23f60","Anivia","Middle","Anivia","53.19","2.38","0.12","7.47","4.85","8.53","24808","25260","8109","4.01","183.7","10.16","2.19","12738","6","-1"
"54e06fec08ed067b90f23f61","Kayle","Middle","Kayle","52.6","1.11","0.23","6.48","6.14","8.78","19425","24641","8764","2.96","180","10.98","3.05","12335","34","0"
"54e06fec08ed067b90f23f62","Akali","Middle","Akali","43.14","1.75","10.37","9.44","8.02","6.36","19390","27500","742","3.68","135.9","4.97","2.14","11665","39","1"
"54e06fec08ed067b90f23f63","Ziggs","Middle","Ziggs","47.56","2.9","0.09","6.6","5.88","8.74","27668","17239","1420","3.11","194.8","8.12","1.54","12662","22","-4"
"54e06fec08ed067b90f23f64","Karma","Middle","Karma","48.67","0.59","0.05","5.81","5.79","9.61","22637","18408","1693","2.77","163","5.18","1.23","11605","40","1"
"54e06fec08ed067b90f23f65","Zyra","Middle","Zyra","52.38","0.64","0.05","7.63","7.16","9.44","30052","18738","1219","3.05","170.6","8.77","1.88","12594","33","-2"
"54e06fec08ed067b90f23f66","Syndra","Middle","Syndra","42.48","3.3","0.94","7.65","7.21","6.8","22692","18755","1193","3.15","182.6","7.24","1.38","12284","37","0"
"54e06fec08ed067b90f23f67","TwistedFate","Middle","Twisted Fate","50.77","3.2","0.06","7.3","7.06","8.68","23344","19432","1343","3.17","173.6","7.51","1.77","13092","31","-1"
"54e06fec08ed067b90f23f68","Brand","Middle","Brand","52.04","2.68","0.1","7.89","6.9","8.55","28416","20267","1315","3.34","160.9","6.37","1.49","12211","29","-2"
"54e06fec08ed067b90f23f69","Veigar","Middle","Veigar","50.76","3.01","0.24","8.84","6.48","7.37","22468","18317","1241","3.84","166.4","5.93","1.27","12428","26","2"
"54e06fec08ed067b90f23f6a","Jayce","Middle","Jayce","45.82","1.22","0.23","7.67","6.5","7.8","24629","21418","1264","3.44","182.7","9.71","2.74","12570","32","-8"
"54e06fec08ed067b90f23f6b","Azir","Middle","Azir","37.78","3.1","29.6","5.1","7.29","7.56","20747","20042","1322","2.14","171.1","7.76","1.46","11345","41","-25"
"54e06fec08ed067b90f23f6c","Talon","Middle","Talon","53.2","3.48","0.46","9.73","7.69","7.73","25098","25447","1610","3.88","175.8","7.72","3.07","13064","7","0"
"54e06fec08ed067b90f23f6d","Lulu","Middle","Lulu","48.59","0.77","0.08","5.15","5.36","10.64","17515","20256","1349","2.54","164.2","4.88","1.12","11484","42","-3"
"54e06fec08ed067b90f23f6e","Velkoz","Middle","Vel'Koz","52.83","2.08","0.17","7.51","6.01","9.22","28207","17943","1538","3.58","176.8","5.91","1.34","12518","8","2"
"54e06fec08ed067b90f23f6f","Cassiopeia","Middle","Cassiopeia","49.92","3.74","3.35","7.89","6.96","7.13","23976","22900","5153","3.34","171.5","9.58","2.38","12317","28","1"
"54e06fec08ed067b90f23f70","Malzahar","Middle","Malzahar","53.56","4.8","0.62","7.12","6.06","8.13","25529","20673","1312","3.29","183.5","7.69","2.18","12583","4","5"
"54e06fec08ed067b90f23f71","Swain","Middle","Swain","54.08","3","0.87","8.06","6.32","8.67","25812","32147","12155","3.69","143","7.06","1.65","11780","10","5"
"54e06fec08ed067b90f23f72","Diana","Middle","Diana","52.2","3.54","0.38","9.03","6.93","7.21","23892","21702","1154","3.87","163.8","11.35","3.2","12540","16","19"
"54e06fec08ed067b90f23f73","Kennen","Middle","Kennen","53.45","1.46","0.45","7.5","6.47","8.2","25183","20667","1081","3.32","161.1","2.43","1.24","11877","25","17"
"54e06fec08ed067b90f23f74","Chogath","Middle","Cho'Gath","52.77","1.09","0.45","7.89","5.32","7.28","22388","30809","7598","4.06","186.7","10.88","3.64","12684","9","11"
"54e06fec08ed067b90f23f75","Vladimir","Middle","Vladimir","51.43","1.27","0.52","7.38","7.13","7.78","27278","32409","12743","3.12","184.7","6.12","3.07","12432","23","2"
"54e06fec08ed067b90f23f76","Lux","Middle","Lux","50.48","7.07","0.09","6.96","5.31","10.12","23839","15131","1184","3.6","169.6","5.05","1.26","12214","20","-1"
"54e06fec08ed067b90f23f77","Yasuo","Middle","Yasuo","44.58","7.35","14.07","7.76","8.45","7.22","21104","23712","938","3.01","196.3","11.17","5.32","12997","30","-7"
"54e06fec08ed067b90f23f78","Fizz","Middle","Fizz","44.36","3.86","20.56","8.97","7.44","6.42","19495","22801","1326","3.62","136.8","5.55","1.37","11657","38","-2"
"54e06fec08ed067b90f23f79","Orianna","Middle","Orianna","47.44","10.41","0.45","6.18","5.86","10.06","20748","17254","1351","2.97","184.6","9.8","1.91","12306","24","-3"
"54e06fec08ed067b90f23f7a","Kassadin","Middle","Kassadin","48.46","8.82","13.4","8.53","5.55","7.85","21727","25597","1903","4.17","153.4","4.64","1.07","11926","14","-3"
"54e06fec08ed067b90f23f7b","Xerath","Middle","Xerath","50.36","11.61","2.78","7.34","5.62","9.01","27129","16631","1664","3.6","184.4","6.85","1.4","12537","2","0"
"54e06fec08ed067b90f23f7c","Zed","Middle","Zed","47.28","12.71","47.65","8.45","7.02","6.06","22353","23629","1611","3.51","190.9","7.5","3.15","12829","12","0"
"54e06fec08ed067b90f23f7d","Leblanc","Middle","LeBlanc","47.85","14.5","25.95","9.24","5.98","6.6","22263","19661","1690","4.27","149.2","4.88","1.17","11971","15","2"
"54e06fec08ed067b90f23f7e","Lissandra","Middle","Lissandra","50.49","7.84","26.48","6.84","6.75","9.26","22632","21553","1532","3","190.2","6.99","1.74","12528","13","1"
"54e06fec08ed067b90f23f7f","Katarina","Middle","Katarina","55.23","15.94","29.52","10.09","6.59","7.49","24646","21109","1388","4.52","169.2","2.23","1.23","12609","1","2"
"54e06fec08ed067b90f23f80","Ahri","Middle","Ahri","51.18","18.36","48.63","7.29","6.01","8.53","23439","20092","3621","3.37","173.6","5.83","1.43","12195","5","-4"
"54e06fec08ed067b90f23f81","Annie","Middle","Annie","55.34","9.96","6.05","8.44","6.54","7.99","24597","19958","1141","3.71","166.7","4.61","1.47","12297","3","1"
"54e06fec08ed067b90f23f82","Ezreal","Middle","Ezreal","46.16","3.49","0.26","7.66","6.06","8.16","27526","20023","1464","3.58","177.7","6.93","2.44","12458","17","5"
"54e06fec08ed067b90f23f83","Nidalee","Middle","Nidalee","48.85","7.48","30.53","8.42","6.48","7.03","24483","24830","10535","3.81","149.2","8.66","2.97","11968","18","-12"
"54e06fec08ed067b90f23f84","Morgana","Middle","Morgana","53.49","2.92","20.04","6.3","5.25","10.58","22112","21496","1013","3.15","172","5.5","1.39","12053","11","2"
"54e06fec08ed067b90f23f85","KogMaw","ADC","Kog'Maw","50.21","0.76","0.03","8","6.6","8.49","27896","24029","2767","3.42","191.7","9.97","2.73","13261","12","1"
"54e06fec08ed067b90f23f86","Twitch","ADC","Twitch","45.67","1.22","0.02","8.61","6.9","7.4","22800","22131","2503","3.64","177.4","8.46","2.66","12792","17","0"
"54e06fec08ed067b90f23f87","Quinn","ADC","Quinn","50.19","0.85","0.02","9.1","7.08","7.41","22606","22390","2433","3.77","189.7","8.5","3.64","13277","16","0"
"54e06fec08ed067b90f23f88","MissFortune","ADC","Miss Fortune","52.62","2.11","0.02","8.46","6.83","8.73","24264","22216","2455","3.7","200.6","8.79","3.42","13593","10","-2"
"54e06fec08ed067b90f23f89","Varus","ADC","Varus","50.27","2.35","0.03","8.08","6.65","8.72","24407","20383","2442","3.6","202.5","8.78","3.11","13434","11","1"
"54e06fec08ed067b90f23f8a","Ashe","ADC","Ashe","54.21","3.7","0.07","7.79","6.74","10.05","25293","19744","2357","3.42","193.9","8.4","2.92","13984","8","2"
"54e06fec08ed067b90f23f8b","Draven","ADC","Draven","50.88","7.5","0.45","8.29","6.71","7.37","24656","21521","2244","3.58","195.6","9.98","3.6","14205","6","-1"
"54e06fec08ed067b90f23f8c","Corki","ADC","Corki","49.49","8.36","0.14","8.04","5.53","8.39","25595","21986","2755","3.93","207.2","9.58","3.02","13407","5","1"
