Name,Role,Win %,Pick %,Ban %,Kills,Deaths,Assists,KDA,Damage Dealt,Damage Taken,Healing Done,Largest Spree,Minions Killed,Own Jungle Monsters,Enemy Jungle Monsters,Gold
Wukong,Top,52.78,4.5,1,7.43,6.2,7.44,2.4,21699,26015,1974,3.42,186.1,5.94,3.05,12570
Rengar,Top,50.04,3.05,3.03,8.75,7,6.26,2.14,21922,27897,3944,3.75,179.2,11.43,5.38,12893
Irelia,Top,52.24,15.1,23.57,7.05,5.71,7.08,2.47,19838,31156,8187,3.49,194.7,3.12,1.8,12397
Lissandra,Top,50.03,8.28,26.48,5.37,6.32,8.65,2.22,21416,21910,1588,2.45,208.5,3.95,1.5,12390
Pantheon,Top,52.36,5.26,5.6,8.54,7,7.2,2.25,23023,24858,1532,3.66,163.6,4.68,2.3,12295
Riven,Top,50.69,19.44,12.26,8.01,6.82,5.38,1.96,20413,23895,1669,3.5,200.8,8.63,5.65,12952
Jarvan IV,Top,54.5,3.26,64.12,7.28,6.1,10.18,2.86,20581,26221,1942,3.4,186.1,6.48,3.18,12800
Nidalee,Top,49.44,3.66,30.53,7.34,6.3,6.46,2.19,22877,26256,9615,3.42,172.3,5.81,3.18,12068
Zac,Jungle,40.28,0.56,0.05,4.29,5.32,10.61,2.8,14107,34964,26496,2.13,42.6,58.73,5.57,11015
Evelynn,Jungle,49.45,1.2,0.14,7.32,6.32,9.69,2.69,18045,28835,2208,3.35,47.5,56.64,7.34,12079
Trundle,Jungle,48.54,0.56,0.04,5.32,5.91,9.78,2.55,13867,37972,10337,2.47,48.6,58.08,6.87,11731
Poppy,Jungle,51.25,0.52,0.13,7.49,6.31,6.87,2.28,17721,28468,2121,3.15,45.1,60.33,7.67,12151
Skarner,Jungle,47.7,1.35,0.03,4.91,5.31,10.93,2.98,11734,30152,2414,2.48,43.9,61.48,6.66,11578
Elise,Jungle,43.11,1.34,0.04,5.51,6.61,8.49,2.12,15365,27939,2496,2.37,40.2,55.33,6.69,11186
Aatrox,Jungle,45.42,0.48,0.2,5.41,5.98,8.63,2.35,14472,34209,16072,2.54,57.5,65.19,8.55,12013
Nunu,Jungle,53.15,1.28,0.05,3.72,5.05,12.37,3.19,11465,36946,10482,1.84,39,50.74,10.02,11256
Rammus,Jungle,47.05,2.02,0.21,3.85,6.15,12.79,2.71,13351,34199,4703,1.65,41,50.97,4.12,11005
Gragas,Jungle,45.32,0.54,0.1,5.3,5.89,10,2.6,16318,32651,7310,2.55,48.7,58.24,6.54,11614
Nocturne,Jungle,48.19,2.25,0.03,6.67,6.14,8.89,2.53,15683,32213,4793,3.07,59.6,68.98,7.69,12599
Nautilus,Jungle,47.72,1.95,0.05,3.74,5.13,12.31,3.13,12520,26878,2360,1.84,40.3,54.33,5.14,10916
Shyvana,Jungle,47.64,1.4,0.03,5.97,5.57,8.82,2.66,17705,33872,2807,2.84,67.1,77.01,11.79,13167
Kayle,Jungle,51.09,0.47,0.23,5.77,5.78,9.14,2.58,16142,28510,8818,2.73,79.8,69.33,7.48,12787
Volibear,Jungle,45.91,1.32,0.09,5.91,5.94,9.99,2.68,13903,36260,2947,2.87,41.7,49.52,5.18,11170
Olaf,Jungle,46.98,1.52,0.11,6.1,6.09,8.58,2.41,16153,34044,3857,2.78,52.6,61.08,7.61,11837
Tryndamere,Jungle,46.47,0.61,0.64,6.51,6.49,6.77,2.05,16533,39452,8107,2.74,82.9,67.69,11.11,13147
Diana,Jungle,47.84,1.26,0.38,7.34,6.69,8.03,2.3,19418,23856,1541,3.24,66,69.17,8.19,12783
Udyr,Jungle,50.81,5.04,0.44,5.6,5.57,7.63,2.38,12940,31153,2362,2.73,60.2,70.23,11.6,12573
Sejuani,Jungle,52.19,5.42,0.25,4.89,5.09,12.14,3.35,15871,34980,4010,2.47,49.3,62.32,6.75,11927
Kha'Zix,Jungle,46.22,5.41,0.27,7.69,6.42,7.46,2.36,17225,31688,5979,3.43,49.8,63.07,9.05,12323
Maokai,Jungle,46.38,1.75,0.45,3.97,5.84,12.46,2.81,14033,36727,9113,1.82,47,51.54,4.85,11034
Hecarim,Jungle,48.89,4.76,0.54,6.72,5.9,9.77,2.79,16457,36983,7955,3.2,54.8,62.21,7.16,12192
Cho'Gath,Jungle,47.6,0.97,0.45,5.71,5.13,9,2.87,15533,35189,7301,2.85,65.3,64.27,6.73,12189
Xin Zhao,Jungle,49.23,5.54,0.2,6.15,7.09,9.11,2.15,16161,33500,6876,2.6,45,56.36,7.1,11706
Sion,Jungle,50.76,1.03,0.55,5.17,5.77,11.42,2.88,16833,35593,16171,2.27,64,52.23,5.27,11804
Warwick,Jungle,51.48,6.38,2.29,5.77,5.96,10.23,2.68,13599,39758,16210,2.62,40.7,65.68,7.29,12025
Master Yi,Jungle,49.74,6.73,1.81,8.77,7.57,5.94,1.94,18905,30977,3792,3.54,80.5,72.22,9.37,13650
Rek'Sai,Jungle,49.67,6.89,27.92,6.03,6.12,9.91,2.6,15180,34464,8568,2.84,48,61.59,10.21,12079
Amumu,Jungle,51.38,7.54,0.97,4.57,5.74,11.96,2.88,15624,31007,2972,2.14,45.2,63.78,6.31,11764
Shaco,Jungle,54.05,7.41,1.89,8.24,6.6,7.94,2.45,18822,26825,2176,3.51,65.3,51.26,10.82,12821
Fiddlesticks,Jungle,55.75,7.15,4.68,5.94,6.29,10.13,2.55,17972,31180,15937,2.76,44.2,61.07,5.89,11739
Malphite,Jungle,44.61,1.37,0.79,4.5,5.09,11.06,3.06,14623,25941,2449,2.22,50.5,56.16,4.73,11298
Fizz,Jungle,47.87,2.2,20.56,8.15,6.55,6.93,2.3,17097,28662,2070,3.48,51.4,59.34,7.06,12225
Jax,Jungle,46.69,1.87,5.8,6.13,6.92,7.59,1.98,14938,28960,1803,2.58,60,62.64,7.58,12165
Wukong,Jungle,51.36,6.51,1,6.63,6,9.58,2.7,17204,28633,2308,3.08,56.4,59.34,6.58,12164
Rengar,Jungle,46.44,9.17,3.03,6.89,6.78,8.24,2.23,15575,30998,4284,3,51.6,64.37,8.15,12195
Pantheon,Jungle,52.1,11.08,5.6,7.61,6.37,9.16,2.63,16930,26828,1847,3.45,45,50.7,5.81,11769
Jarvan IV,Jungle,52.87,18.98,64.12,6.01,6.01,13.54,3.25,14886,28580,2286,2.84,47,55.24,6.5,12063
Nidalee,Jungle,50.67,11.33,30.53,7.73,6.61,7.99,2.38,20699,29252,10757,3.48,53.9,57.58,9.41,12334
Vi,Jungle,53.35,25.18,46.01,6.58,6.09,9.39,2.62,15595,27146,1886,3.06,46.7,63.52,7.87,12111
Lee Sin,Jungle,46.56,26.01,3.83,6.44,6.46,10.27,2.59,14486,30776,2186,2.92,42.3,52.28,7.43,11559
Zilean,Middle,45.31,0.25,0.1,5.75,6.15,9.34,2.45,19995,22115,5518,2.62,152,4.73,0.92,11191
Galio,Middle,51.27,0.68,0.14,5.72,6.17,11.53,2.8,22697,26613,7317,2.65,175.8,5.54,1.36,12108
Karthus,Middle,51.33,1.22,0.08,8.38,7.57,9.82,2.4,31596,23851,1707,3.1,192.4,12.03,2.07,13397
Mordekaiser,Middle,50.23,0.82,0.15,7.04,7.13,7.22,2,24315,18500,3269,3.09,193,9.61,4.19,12592
Ryze,Middle,41.05,0.41,0.1,6.85,7.34,8.03,2.03,22801,26817,937,2.85,154.8,7.22,1.58,11666
Heimerdinger,Middle,55.95,1.07,0.27,5.95,6.44,8.07,2.18,28109,18507,1166,2.65,184.4,4.39,1.91,12187
Viktor,Middle,49.71,2.04,0.13,8.02,6.71,7.64,2.33,26719,18046,1050,3.54,188.3,6.74,1.69,12714
Gragas,Middle,40.47,0.52,0.1,6.51,6.43,7.8,2.23,20926,28695,6295,2.94,148.4,7.49,1.89,11305
Anivia,Middle,53.19,2.38,0.12,7.47,4.85,8.53,3.3,24808,25260,8109,4.01,183.7,10.16,2.19,12738
Kayle,Middle,52.6,1.11,0.23,6.48,6.14,8.78,2.49,19425,24641,8764,2.96,180,10.98,3.05,12335
Akali,Middle,43.14,1.75,10.37,9.44,8.02,6.36,1.97,19390,27500,742,3.68,135.9,4.97,2.14,11665
